indv	ef	lf	sex	pupation	pday	emergence	eday	adultsurvival	censor	eggs1	eggs2	eggs3	eggs4	eggs5	eggs6	wl	delta.1	delta46	size.day4
1	L	L	male	yes	9	yes	11	30	1	NA	NA	NA	NA	NA	NA	NA	1.7285	1.2712	2.5937
2	L	L	female	yes	10	yes	12	57	0	0	24	0	0	43	NA	2.381	1.0615	3.1328	1.9638
3	L	L	female	yes	9	yes	11	29	1	0	25	0	NA	NA	NA	2.360917107	1.0312	2.5393	1.9206
4	L	L	male	yes	9	yes	11	10	1	NA	NA	NA	NA	NA	NA	NA	1.6874	2.1353	2.5525
5	L	H	female	yes	9	yes	11	32	1	0	0	0	NA	NA	NA	2.592756849	1.012	2.5141	1.9086
6	L	H	male	yes	8	yes	11	46	1	NA	NA	NA	NA	NA	NA	NA	1.8299	2.2252	2.8264
7	L	H	male	yes	8	yes	10	20	1	NA	NA	NA	NA	NA	NA	NA	0.8189	2.7103	1.7531
8	L	H	NA	yes	9	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	H	L	female	yes	8	yes	10	27	1	0	0	0	NA	NA	NA	2.491769307	2.2413	1.3329	3.2169
10	H	L	female	yes	9	yes	11	51	1	25	26	0	22	3	NA	2.387222316	2.0617	NA	2.9443
11	H	L	NA	yes	8	no	10	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.488
12	H	L	female	yes	8	yes	10	31	1	0	0	20	NA	NA	NA	2.33127952	NA	NA	NA
13	H	H	female	yes	8	yes	10	52	1	44	42	33	40	44	9	2.615994043	1.5351	3.3926	2.437
14	H	H	male	yes	7	yes	10	14	1	NA	NA	NA	NA	NA	NA	NA	2.1946	2.6247	2.7156
15	H	H	female	yes	8	yes	10	38	1	0	0	0	0	NA	NA	2.604236237	1.7591	3.0519	2.6646
16	H	H	female	yes	8	yes	10	29	1	21	26	0	NA	NA	NA	2.691530986	NA	NA	NA
17	L	L	male	yes	8	yes	10	20	1	NA	NA	NA	NA	NA	NA	NA	1.698	2.4055	2.4971
18	L	L	female	yes	9	yes	11	57	0	31	0	0	15	14	0	2.464379079	1.3083	2.8878	2.2167
19	L	L	female	yes	9	yes	11	16	1	0	0	0	NA	NA	NA	2.399360592	2.306	1.4161	3.1066
20	L	L	female	yes	9	yes	11	39	1	14	0	0	14	NA	NA	2.281922489	1.1058	2.7001	1.8051
21	L	H	female	yes	9	yes	11	12	1	0	NA	NA	NA	NA	NA	2.700473398	1.1137	2.9805	1.9828
22	L	H	male	yes	8	yes	11	27	1	NA	NA	NA	NA	NA	NA	NA	1.7017	2.3729	2.437
23	L	H	male	yes	9	yes	11	22	1	NA	NA	NA	NA	NA	NA	NA	1.5709	1.5613	2.5427
24	L	H	male	yes	9	yes	10	14	1	NA	NA	NA	NA	NA	NA	NA	1.6959	1.525	2.4278
25	H	L	male	yes	10	yes	13	8	1	NA	NA	NA	NA	NA	NA	NA	1.582	0.8833	2.3001
26	H	L	female	yes	8	yes	10	49	1	0	39	36	0	45	NA	NA	3.2789	0.6368	3.7344
27	H	L	female	yes	9	yes	11	22	1	0	30	NA	NA	NA	NA	2.35326276	3.2287	0.9619	4.0147
28	H	L	male	yes	7	yes	9	14	1	NA	NA	NA	NA	NA	NA	NA	2.0398	0.7167	2.8428
29	H	H	male	yes	7	yes	9	32	1	NA	NA	NA	NA	NA	NA	NA	2.1541	2.3219	3.059
30	H	H	male	yes	7	yes	9	27	1	NA	NA	NA	NA	NA	NA	NA	3.3672	1.0327	4.2587
31	H	H	male	yes	7	yes	9	51	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5222
32	H	H	female	yes	9	yes	11	51	1	25	40	0	0	0	NA	2.352676471	NA	NA	NA
33	L	L	female	yes	10	yes	12	45	1	43	0	0	31	0	NA	2.454061855	1.1909	2.6326	2.1331
34	L	L	male	yes	9	yes	11	13	1	NA	NA	NA	NA	NA	NA	NA	1.435	1.7838	2.1861
35	L	L	male	yes	9	yes	11	32	1	NA	NA	NA	NA	NA	NA	NA	2.0769	1.5559	3.0192
36	L	L	female	yes	10	yes	12	32	1	31	24	0	NA	NA	NA	1.964341602	NA	NA	NA
37	L	H	male	yes	8	yes	10	41	1	NA	NA	NA	NA	NA	NA	NA	1.7735	2.438	2.8485
38	L	H	female	yes	9	yes	11	27	1	0	0	0	NA	NA	NA	NA	1.0652	2.7217	1.883
39	L	H	male	yes	9	yes	11	26	1	NA	NA	NA	NA	NA	NA	NA	1.2312	2.225	1.9374
40	L	H	male	yes	11	yes	13	42	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	H	L	female	yes	9	yes	11	33	1	38	0	0	16	NA	NA	2.488776943	2.5203	2.2836	3.6086
42	H	L	female	yes	7	yes	10	39	1	0	0	0	0	NA	NA	2.160866292	2.9923	1.9347	3.8876
43	H	L	female	yes	7	yes	9	19	1	0	0	NA	NA	NA	NA	2.51599915	3.4154	1.1726	4.0883
44	H	L	female	yes	7	yes	10	50	1	0	32	0	0	16	NA	2.45341565	2.1979	0.8842	3.0907
45	H	H	male	yes	7	yes	9	38	1	NA	NA	NA	NA	NA	NA	NA	2.6282	2.6767	3.5186
46	H	H	female	yes	8	yes	11	58	0	48	32	30	38	0	0	2.57798102	2.373	NA	3.485
47	H	H	male	yes	7	yes	9	15	1	NA	NA	NA	NA	NA	NA	NA	2.7655	0.5114	3.5936
48	H	H	female	yes	8	yes	10	34	1	39	0	19	27	NA	NA	2.639272723	2.984	2.2977	3.7493
49	L	L	male	yes	9	yes	11	19	1	NA	NA	NA	NA	NA	NA	NA	2.1197	1.2386	2.7452
50	L	L	male	yes	9	yes	11	56	1	NA	NA	NA	NA	NA	NA	NA	0.9401	1.8362	1.8651
51	L	L	female	yes	10	yes	12	48	1	25	0	0	0	0	NA	2.315272262	1.97	1.2058	2.5396
52	L	L	female	yes	11	yes	13	56	0	0	22	26	14	21	0	2.536423711	1.0641	2.4167	1.7176
53	L	H	male	yes	9	yes	10	31	1	NA	NA	NA	NA	NA	NA	NA	1.6466	2.8444	2.5253
