Family,Genus,Species,Binomial,FA_mean,Tib_mean,Cal_mean,CdT_mean,CdF_mean
Cistugidae,Cistugo,lesueuri,Cistugo_lesueuri,36,14,18,1.285714286,0.5
Craseonycteridae,Craseonycteris,thonglongyai,Craseonycteris_thonglongyai,24,11,0,0,0
Emballonuridae,Balantiopteryx,plicata,Balantiopteryx_plicata,41.42857143,17.14285714,13,0.756886088,0.313891654
Emballonuridae,Centronycteris,centralis,Centronycteris_centralis,45,19.5,20,1.025,0.44416996
Emballonuridae,Coleura,afra,Coleura_afra,47.625,16.25,15.375,0.94940768,0.323272605
Emballonuridae,Cormura,brevirostris,Cormura_brevirostris,46.375,16,14.75,0.925091912,0.318155976
Emballonuridae,Diclidurus,albus,Diclidurus_albus,60.25,21.5,20.5,0.953463203,0.340620601
Emballonuridae,Emballonura,semicaudata,Emballonura_semicaudata,43.625,17.375,15.75,0.907271242,0.361090976
Emballonuridae,Mosia,nigrescens,Mosia_nigrescens,33.75,11.75,9.875,0.844594988,0.292252225
Emballonuridae,Peropteryx,macrotis,Peropteryx_macrotis,42,17.625,15.75,0.895244776,0.37521898
Emballonuridae,Rhynchonycteris,naso,Rhynchonycteris_naso,37.125,13.875,18.5,1.335210623,0.498578708
Emballonuridae,Saccolaimus,saccolaimus,Saccolaimus_saccolaimus,69.8,27.2,21,0.771952058,0.300840522
Emballonuridae,Saccopteryx,bilineata,Saccopteryx_bilineata,45.125,20.625,17.625,0.856958292,0.391217068
Emballonuridae,Taphozous,melanopogon,Taphozous_melanopogon,62.75,22.625,17.375,0.767539526,0.276800343
Furipteridae,Furipterus,horrens,Furipterus_horrens,34.57142857,13.85714286,15.42857143,1.120774464,0.446822365
Hipposideridae,Asellia,tridens,Asellia_tridens,48.625,18.5,9.875,0.534356725,0.202998509
Hipposideridae,Aselliscus,tricuspidatus,Aselliscus_tricuspidatus,40.5,14.125,8.875,0.629624542,0.219126351
Hipposideridae,Coelops,frithii,Coelops_frithii,36.5,16,4.75,0.297743056,0.130407311
Hipposideridae,Hipposideros,armiger,Hipposideros_armiger,92,39.375,23.25,0.591085744,0.252784798
Hipposideridae,Hipposideros,bicolor,Hipposideros_bicolor,42.42857143,18.14285714,10.14285714,0.556046366,0.237974581
Hipposideridae,Hipposideros,caffer,Hipposideros_caffer,47,18.875,12.125,0.64118937,0.257264865
Hipposideridae,Hipposideros,cervinus,Hipposideros_cervinus,46.28571429,16.85714286,10.42857143,0.619047619,0.225598478
Hipposideridae,Hipposideros,cyclops,Hipposideros_cyclops,65.4,30.6,15,0.489919355,0.22871009
Hipposideridae,Hipposideros,diadema,Hipposideros_diadema,79.625,31.25,20,0.64063606,0.251689532
Hipposideridae,Hipposideros,larvatus,Hipposideros_larvatus,59.2,22.2,14,0.631517034,0.237002575
Hipposideridae,Hipposideros,pomona,Hipposideros_pomona,40.71428571,17.85714286,10.28571429,0.575762322,0.252529012
