Species,Family,Average_Girth_m,Diameter_cm,Wood_Density,Basal_Area_cm2,Height_m
Syzygium jambos,Myrtaceae,0.51,16.20591039084843,0.7,206.9810034910099,8
Syzygium jambos,Myrtaceae,0.57,18.11248808388942,0.7,258.54720505278397,8.5
Syzygium jambos,Myrtaceae,0.53,16.84143628852876,0.7,223.533117572567,8
Syzygium jambos,Myrtaceae,0.49,15.570384493168095,0.7,191.06550918182035,8
Swietenia mahagoni,Meliaceae,0.68,21.60788052113124,0.51,367.9662284284621,12
Swietenia mahagoni,Meliaceae,0.72,22.8789323164919,0.51,412.52961249419275,11
Swietenia mahagoni,Meliaceae,0.63,20.01906577693041,0.51,315.8429845658663,12
Swietenia mahagoni,Meliaceae,0.75,23.83222116301239,0.51,447.6232774459557,12
Swietenia mahagoni,Meliaceae,0.65,20.654591674610742,0.51,336.2148172816289,12
Swietenia mahagoni,Meliaceae,0.68,21.60788052113124,0.51,367.9662284284621,12.5
Swietenia mahagoni,Meliaceae,0.74,23.51445821417223,0.51,435.76623418560945,12
Swietenia mahagoni,Meliaceae,0.67,21.290117572291074,0.51,357.2232697697591,12
Eucalyptus tereticornis,Myrtaceae,0.34,10.80394026056562,0.7,91.99155710711553,12
Eucalyptus tereticornis,Myrtaceae,0.37,11.757229107086117,0.7,108.94155854640236,14
Eucalyptus tereticornis,Myrtaceae,0.47,14.934858595487766,0.7,175.7866346449984,13
Eucalyptus tereticornis,Myrtaceae,0.41,13.028280902446776,0.7,133.76972966873802,13
Eucalyptus tereticornis,Myrtaceae,0.39,12.392755004766446,0.7,121.0373342213864,13
Eucalyptus tereticornis,Myrtaceae,0.36,11.43946615824595,0.7,103.1324031235482,12
Eucalyptus tereticornis,Myrtaceae,0.47,14.934858595487766,0.7,175.7866346449984,12
Eucalyptus tereticornis,Myrtaceae,0.41,13.028280902446776,0.7,133.76972966873802,14
Eucalyptus tereticornis,Myrtaceae,0.37,11.757229107086117,0.7,108.94155854640236,12
Eucalyptus tereticornis,Myrtaceae,0.35,11.121703209405783,0.7,97.4824026437859,12
Eucalyptus tereticornis,Myrtaceae,0.46,14.617095646647602,0.7,168.3859297912253,14
Eucalyptus tereticornis,Myrtaceae,0.55,17.476962186209093,0.7,240.7218514264917,14
Eucalyptus tereticornis,Myrtaceae,0.47,14.934858595487766,0.7,175.7866346449984,14
Eucalyptus tereticornis,Myrtaceae,0.41,13.028280902446776,0.7,133.76972966873802,14
Eucalyptus tereticornis,Myrtaceae,0.43,13.663806800127109,0.7,147.13874488845724,13
Eucalyptus tereticornis,Myrtaceae,0.36,11.43946615824595,0.7,103.1324031235482,13
Eucalyptus tereticornis,Myrtaceae,0.36,11.43946615824595,0.7,103.1324031235482,13
Eucalyptus tereticornis,Myrtaceae,0.45,14.299332697807438,0.7,161.14437988054402,13
Eucalyptus tereticornis,Myrtaceae,0.49,15.570384493168095,0.7,191.06550918182035,14
Eucalyptus tereticornis,Myrtaceae,0.39,12.392755004766446,0.7,121.0373342213864,14
Eucalyptus tereticornis,Myrtaceae,0.35,11.121703209405783,0.7,97.4824026437859,14
Eucalyptus tereticornis,Myrtaceae,0.48,15.252621544327932,0.7,183.34649444186343,13
Eucalyptus tereticornis,Myrtaceae,0.42,13.34604385128694,0.7,140.3746598070517,13
Eucalyptus tereticornis,Myrtaceae,0.35,11.121703209405783,0.7,97.4824026437859,12
Eucalyptus tereticornis,Myrtaceae,0.86,27.327613600254217,0.7,588.554979553829,16
Santalum album,Santalaceae,0.23,7.308547823323801,0.87,42.09648244780632,4
Santalum album,Santalaceae,0.21,6.67302192564347,0.87,35.093664951762925,4
Santalum album,Santalaceae,0.19,6.03749602796314,0.87,28.72746722808711,3.5
Santalum album,Santalaceae,0.21,6.67302192564347,0.87,35.093664951762925,4
Santalum album,Santalaceae,0.2,6.355258976803306,0.87,31.830988618379067,4
Jacaranda mimosifolia,Bignoniaceae,0.51,16.20591039084843,0.5,206.9810034910099,10
Simarouba glauca,Simaroubaceae,0.48,15.252621544327932,0.465,183.34649444186343,12
