Animal,Sire,Dam,Bucket,Wing_Morph,Food,State_DLM,DLM_Mass,Ovary_Mass,Remaining_Mass,Total_Mass
1,1,1,A,L,Low,2,2.7,6.3,109.7,118.7
2,1,1,A,S,Med,0,0,52.8,77.5,130.3
3,1,1,A,L,AD,1,5.7,46.2,206.2,258.1
4,1,1,A,L,Low,2,3.5,4.7,101,109.2
5,1,1,A,L,Med,2,5,16.3,151.7,173
6,1,1,A,S,AD,0,0,92,119,211
7,1,1,A,S,Low,0,0,45.8,100.1,145.9
8,1,1,A,S,Med,0,0,70.8,95,165.8
9,1,1,A,L,AD,2,4.9,73.8,200.1,278.8
10,1,1,A,L,Low,2,4.3,2.8,147.8,154.9
11,1,1,A,L,Med,2,4.6,10.5,156.9,172
12,1,1,A,S,AD,0,0,70.6,102.1,172.7
13,1,1,B,L,Low,0,0,25.8,80.1,105.9
14,1,1,B,S,Med,0,0,4.5,157.4,161.9
15,1,1,B,S,AD,0,0,114.6,158,272.6
16,1,1,B,L,Low,1,1.8,12,135.7,149.5
17,1,1,B,L,Med,1,1.2,40,116.7,157.9
18,1,1,B,L,AD,1,2.4,16.3,174.8,193.5
19,1,1,B,S,Low,0,0,6.7,125.2,131.9
20,1,2,A,L,Low,0,0,25.7,110.9,136.6
21,1,2,A,L,Med,2,5.2,22.1,143.7,171
22,1,2,A,L,AD,2,5.5,51.2,175.1,231.8
23,1,2,A,L,Low,2,4.5,3.7,134.9,143.1
24,1,2,A,L,Med,2,5.2,14.2,137.6,157
25,1,2,A,L,AD,2,7.3,50.7,199.9,257.9
26,1,2,A,L,Low,1,1.5,30.9,145,177.4
27,1,2,A,L,Med,2,6.5,17.7,196.6,220.8
28,1,2,A,L,AD,1,1.4,130.2,133.7,265.3
29,1,2,A,S,Low,0,0,40,140.7,180.7
30,1,2,A,L,Med,2,3.7,1.9,99.3,104.9
31,1,2,A,S,AD,0,0,117.2,123.2,240.4
32,1,2,A,L,Low,1,1.4,3,105.8,110.2
33,1,2,A,L,Med,0,0,130.2,127.9,258.1
34,1,2,B,L,Low,1,1,44.3,125.5,170.8
35,1,2,B,L,Med,2,5.3,24,163.2,192.5
36,1,2,B,L,AD,1,1.1,101.2,147.9,250.2
37,1,2,B,L,Low,2,4.5,2.4,121,127.9
38,1,2,B,L,Med,1,1.4,61.3,146,208.7
39,1,2,B,L,AD,2,9.4,37.2,182.9,229.5
40,1,2,B,L,Low,1,3.6,2.6,159.9,166.1
41,1,2,B,L,Med,2,6,17.8,186.5,210.3
42,1,2,B,L,AD,1,6,16.7,187,209.7
43,1,2,B,L,Low,2,6.1,2.7,170,178.8
44,1,2,B,L,Med,2,5.6,8.8,169.6,184
45,1,2,B,L,AD,2,6.1,27.1,176,209.2
46,1,2,B,L,Low,2,2.9,3,128.8,134.7
47,1,2,B,L,Med,2,5.6,22.1,200.5,228.2
48,1,2,B,L,AD,2,8.4,49.1,230.2,287.7
49,1,3,A,L,Low,1,4.5,2,124.5,131
50,1,3,A,L,Med,1,0.5,37.7,101.4,139.6
51,1,3,A,L,AD,1,0.9,115.6,126.7,243.2
52,1,3,A,L,Low,2,4,3.4,116.2,123.6
53,1,3,A,L,Med,1,0.8,80.5,139.6,220.9
54,1,3,A,L,AD,0,0,138.7,153.5,292.2
55,1,3,A,L,Low,2,4.7,9.1,136.1,149.9
56,1,3,A,L,Med,2,3.7,21.3,115.1,140.1
57,1,3,A,S,AD,0,0,107.8,119.2,227
