Place,DayofYear,Year,Lek,MaleID,TimeofHoot,AudienceMales,PrePost,FemaleVisit.5m
TZ,157,2007,ElephantShit,102,8:10,N,Post,0
TZ,157,2007,ElephantShit,102,8:10,N,Pre,0
TZ,157,2007,AfricanPavillionRocks,101,10:13,N,Post,1
TZ,157,2007,AfricanPavillionRocks,101,10:13,N,Pre,0
TZ,158,2007,AfricanDirtPath,105,7:47,N,Post,0
TZ,158,2007,AfricanDirtPath,105,7:47,N,Pre,0
TZ,158,2007,AfricanDirtPath,105,8:20,N,Pre,0
TZ,159,2007,IndoMalayan,103,8:14,N,Post,0
TZ,159,2007,IndoMalayan,103,8:14,N,Pre,0
TZ,160,2007,ElephantShit,102,8:28,N,Pre,0
TZ,161,2007,AfricanDirtPath,105,8:04,N,Post,0
TZ,161,2007,AfricanDirtPath,105,8:04,N,Pre,0
TZ,166,2007,IndoMalayan,103,7:32,N,Post,0
WZ,137,2007,Vicuna,114,7:53,N,Pre,0
TZ,158,2007,IndoMalayan,103,8:39,N,Post,0
TZ,166,2007,ElephantShit,102,8:14,N,Post,0
TZ,166,2007,ElephantShit,102,8:14,N,Pre,0
TZ,167,2007,IndoMalayan,103,9:39,N,Post,1
TZ,167,2007,IndoMalayan,103,9:39,N,Pre,0
TZ,167,2007,AfricanStaff,106,10:40,N,Post,0
TZ,167,2007,AfricanStaff,106,10:40,N,Pre,0
TZ,169,2007,AfricanDirtPath,105,7:51,N,Post,0
TZ,169,2007,AfricanDirtPath,105,7:51,N,Pre,0
TZ,170,2007,AfricanDirtPath,105,8:47,N,Post,0
WZ,129,2007,Vicuna,114,11:25,N,Post,0
WZ,129,2007,Vicuna,114,11:25,N,Pre,0
WZ,130,2007,Kangaroo,117,9:34,Y,Post,0
WZ,130,2007,Crane,110,17:55,Y,Post,1
WZ,130,2007,Crane,110,17:55,Y,Pre,1
WZ,132,2007,JohnShed,111,17:17,Y,Post,0
WZ,132,2007,JohnShed,111,17:17,Y,Pre,0
WZ,132,2007,JohnShed,114,17:19,Y,Post,0
WZ,132,2007,JohnShed,114,17:19,Y,Pre,0
WZ,132,2007,JohnShed,114,17:47,Y,Post,0
WZ,132,2007,JohnShed,114,17:47,Y,Pre,0
WZ,133,2007,Kangaroo,108,7:03,Y,Post,0
WZ,133,2007,Vicuna,114,8:44,N,Post,0
WZ,133,2007,Vicuna,114,8:44,N,Pre,0
WZ,132,2007,Vicuna,114,9:04,N,Post,0
