ID,Age,Behavior,Time (s),Subcolony
1211,midlife,care,298.68,PD132
1234,mature,care,0,PD113
1248,midlife,care,44.584,PD132
1253,midlife,care,27.591,PD132
1262,midlife,care,146.088,PD132
1280,mature,care,259.954,PD118
1312,mature,care,31.35,PD113
1319,midlife,care,91.033,PD132
1330,midlife,care,7.594,PD130
1343,mature,care,328.644,PD118
1350,mature,care,33.924,PD113
1355,mature,care,133.923,PD113
1398,midlife,care,180.416,PD130
1405,mature,care,609.495,PD124
1410,old,care,146.449,PD132
1411,very old,care,195.205,PD118
1412,very old,care,46.01,PD118
1428,old,care,58.99,PD113
1434,midlife,care,458.368,PD118
1436,old,care,168.297,PD113
1438,old,care,170.561,PD123
1439,very old,care,67.607,PD132
1444,mature,care,186.412,PD124
1451,very old,care,95.449,PD118
1470,old,care,60.792,PD113
1475,midlife,care,281.241,PD131
1481,old,care,605.363,PD123
1489,very old,care,67.538,PD132
1503,mature,care,224.844,PD131
1511,old,care,22.208,PD132
1523,old,care,149.135,PD113
1529,very old,care,80.211,PD132
1533,old,care,266.769,PD118
1534,midlife,care,391.733,PD131
1535,mature,care,47.109,PD131
1536,old,care,93.571,PD113
1538,old,care,55.373,PD132
1543,old,care,230.579,PD118
1546,old,care,151.647,PD132
1557,old,care,94.35,PD118
1570,midlife,care,252.259,PD131
1577,midlife,care,475.294,PD118
1597,old,care,242.34,PD118
1599,old,care,51.703,PD123
1600,midlife,care,55.845,PD123
1601,midlife,care,78.231,PD123
1602,midlife,care,138.165,PD123
1603,midlife,care,2.67,PD123
1607,mature,care,54.855,PD126
1609,mature,care,4.637,PD126
1610,mature,care,220.142,PD126
1695,old,care,334.439,PD123
1211,midlife,feeding,131.604,PD132
1234,mature,feeding,0,PD113
1248,midlife,feeding,30.452,PD132
1253,midlife,feeding,1.693,PD132
1262,midlife,feeding,64.373,PD132
1280,mature,feeding,23.868,PD118
1312,mature,feeding,4.835,PD113
1319,midlife,feeding,98.868,PD132
1330,midlife,feeding,0,PD130
1343,mature,feeding,25.033,PD118
1350,mature,feeding,5.868,PD113
1355,mature,feeding,52.01,PD113
1398,midlife,feeding,575.537,PD130
1405,mature,feeding,81.825,PD124
1410,old,feeding,10.472,PD132
1411,very old,feeding,0,PD118
1412,very old,feeding,137.033,PD118
1428,old,feeding,2.825,PD113
1434,midlife,feeding,0,PD118
1436,old,feeding,58.835,PD113
1438,old,feeding,51.439,PD123
1439,very old,feeding,22.254,PD132
1444,mature,feeding,2.858,PD124
1451,very old,feeding,49.363,PD118
1470,old,feeding,0,PD113
1475,midlife,feeding,63.703,PD131
1481,old,feeding,11,PD123
1489,very old,feeding,12.056,PD132
1503,mature,feeding,70.858,PD131
1511,old,feeding,0,PD132
1523,old,feeding,7.34,PD113
1529,very old,feeding,7.34,PD132
1533,old,feeding,12.264,PD118
1534,midlife,feeding,15.703,PD131
1535,mature,feeding,0,PD131
1536,old,feeding,8.571,PD113
1538,old,feeding,21.67,PD132
1543,old,feeding,0,PD118
1546,old,feeding,32.637,PD132
1557,old,feeding,0,PD118
1570,midlife,feeding,41.594,PD131
1577,midlife,feeding,87.231,PD118
1597,old,feeding,4.264,PD118
1599,old,feeding,0,PD123
1600,midlife,feeding,0,PD123
1601,midlife,feeding,0,PD123
1602,midlife,feeding,25.825,PD123
1603,midlife,feeding,0,PD123
1607,mature,feeding,0,PD126
1609,mature,feeding,0,PD126
1610,mature,feeding,0,PD126
1695,old,feeding,0,PD123
1211,midlife,carry,19.703,PD132
1234,mature,carry,0,PD113
1248,midlife,carry,102.429,PD132
1253,midlife,carry,0,PD132
1262,midlife,carry,51.934,PD132
1280,mature,carry,219.886,PD118
1312,mature,carry,0,PD113
1319,midlife,carry,368.749,PD132
1330,midlife,carry,0,PD130
1343,mature,carry,0,PD118
1350,mature,carry,0,PD113
1355,mature,carry,0,PD113
1398,midlife,carry,167.078,PD130
1405,mature,carry,274.759,PD124
1410,old,carry,0,PD132
1411,very old,carry,42.759,PD118
1412,very old,carry,0,PD118
1428,old,carry,13.637,PD113
1434,midlife,carry,0,PD118
1436,old,carry,62.226,PD113
1438,old,carry,0,PD123
1439,very old,carry,54.528,PD132
1444,mature,carry,0,PD124
1451,very old,carry,18.967,PD118
1470,old,carry,158.683,PD113
1475,midlife,carry,46.099,PD131
1481,old,carry,72.901,PD123
1489,very old,carry,0,PD132
1503,mature,carry,0,PD131
1511,old,carry,24.528,PD132
1523,old,carry,44.033,PD113
1529,very old,carry,330.962,PD132
1533,old,carry,98.835,PD118
1534,midlife,carry,3.703,PD131
1535,mature,carry,0,PD131
1536,old,carry,0,PD113
1538,old,carry,49.858,PD132
1543,old,carry,498.33,PD118
1546,old,carry,0,PD132
1557,old,carry,23.132,PD118
1570,midlife,carry,0,PD131
1577,midlife,carry,78.325,PD118
1597,old,carry,521.637,PD118
1599,old,carry,123.118,PD123
1600,midlife,carry,50.241,PD123
1601,midlife,carry,52.937,PD123
1602,midlife,carry,311.466,PD123
1603,midlife,carry,0,PD123
1607,mature,carry,198.901,PD126
1609,mature,carry,1155.429,PD126
1610,mature,carry,0,PD126
1695,old,carry,117.132,PD123
