species;M_mor;F_mor;F_bias;M_mass;F_mass;prod;prod_F;log_prod_F;mat_sys_bias;sex_dim;prehatch_bias;posthatch_bias;mean_bias;cavity_nest
Accipiter_gentilis;0.17;0.17;0;712;1140;197.696964;0.173418389;-0.760904851;0;-0.204424858;0.5;0.1666665;0.33333325;0
Accipiter_nisus;0.33;0.32;-0.045586744;150;290;95.4992586;0.329307788;-0.482397998;1;-0.286306739;0.5;0.3333335;0.41666675;0
Acrocephalus_arundinaceus;0.445;0.415;-0.122439495;32.3;28.4;20.04472027;0.70580001;-0.15131834;3;0.055884182;0.5;0.3333335;0.41666675;0
Acrocephalus_scirpaceus;0.51;0.37;-0.572222148;11.8;11.8;10.16248693;0.861227706;-0.064882007;1;0;0.5;0.1666665;0.33333325;0
Aegolius_funereus;0.3;0.36;0.271933715;101;167;52.96634439;0.317163739;-0.498716471;3;-0.218395097;1;0.5;0.75;1
Agelaius_phoeniceus;0.578;0.505;-0.294567888;57.3;39.6;23.71373706;0.598831744;-0.222695186;4;0.160459436;0.5;0.3333335;0.41666675;0
Aix_sponsa;0.46;0.51;0.200347985;680;671;511.6818355;0.762566074;-0.11772252;1;0.005786393;1;1;1;1
Alcedo_atthis;0.72;0.72;0;40.9;43.8;40.83193863;0.932236042;-0.030474111;3;-0.029750802;-0.25;0;-0.125;1
Ammodramus_maritimus;0.472;0.586;0.459571114;24.3;22.2;11.50800389;0.518378554;-0.285352974;0;0.039253299;1;0.3333335;0.66666675;0
Anas_acuta;0.28;0.4;0.538996501;1025;866;337.2873087;0.389477262;-0.409517892;0;0.073205973;1;1;1;0
Anas_americana;0.36;0.39;0.128051927;821;766;341.1929116;0.445421556;-0.35122877;0;0.030114387;0.8333335;0.5;0.66666675;0
Anas_crecca;0.47;0.57;0.401995464;322;308;260.0159563;0.84420765;-0.073550717;0;0.019305155;1;1;1;0
Anas_discors;0.41;0.48;0.28392267;478;451;272.2701308;0.603703173;-0.219176542;0;0.025251355;1;1;1;0
Anas_platyrhynchos;0.37;0.44;0.291054757;1210;1113;497.737085;0.447203131;-0.349495164;1;0.036290206;1;1;1;0
Anas_rubripes;0.37;0.53;0.652361126;1252;1111;578.0960474;0.520338477;-0.283714059;0;0.05189027;1;1;1;0
Anas_strepera;0.25;0.31;0.298492989;990;849;431.5190768;0.508267464;-0.29390769;0;0.066727504;1;1;1;0
Anous_stolidus;0.11;0.13;0.189782336;196.4;172.3;39.99447498;0.232121155;-0.634285277;0;0.056856206;0;0;0;0
Anser_albifrons;0.29;0.33;0.187198989;2853;2508;623.7348355;0.2486981;-0.604327532;0;0.055974239;0.5;0.5;0.5;0
