locus_name,Col_reads_Col_Cvi,Cvi_reads_Col_Cvi,Col_reads_Cvi_Col,Cvi_reads_Cvi_Col
AT1G01030,5,3,11,5
AT1G01040,16,28,24,30
AT1G01060,4,7,44,40
AT1G01090,3761,3623,4481,4414
AT1G01130,98,63,95,66
AT1G01160,226,210,266,281
AT1G01170,281,156,424,223
AT1G01210,5,3,20,5
AT1G01220,16,15,37,31
AT1G01230,88,95,94,135
AT1G01240,4,3,20,8
AT1G01260,62,45,95,63
AT1G01290,11,10,11,12
AT1G01300,1830,1233,2409,1509
AT1G01310,2,2,7,4
AT1G01320,660,617,1168,1095
AT1G01350,15,18,25,20
AT1G01370,5,3,10,10
AT1G01380,1,7,2,4
AT1G01430,102,84,116,93
AT1G01440,16,10,12,11
AT1G01448,10,18,18,13
AT1G01480,10,2,25,1
AT1G01490,143,128,195,181
AT1G01500,12,15,24,32
AT1G01510,117,115,213,176
AT1G01520,4,1,3,5
AT1G01540,519,469,815,710
AT1G01550,67,107,102,121
AT1G01570,7,6,21,12
AT1G01600,81,67,80,79
AT1G01610,28,34,52,68
AT1G01620,2,1,5,9
AT1G01630,5,4,3,10
AT1G01650,35,33,67,64
AT1G01690,25,14,48,17
AT1G01695,6,2,6,5
AT1G01700,9,8,14,15
AT1G01710,29,41,47,85
AT1G01720,279,286,663,737
AT1G01730,50,54,87,87
AT1G01740,5,5,9,14
AT1G01760,21,8,13,18
AT1G01770,30,23,56,52
AT1G01780,22,19,40,60
AT1G01790,103,128,217,219
AT1G01800,192,159,223,199
AT1G01820,77,69,83,103
AT1G01830,82,56,124,86
AT1G01840,8,12,14,16
AT1G01860,27,37,42,52
AT1G01880,5,1,5,3
AT1G01900,24,10,72,129
AT1G01910,109,79,109,76
AT1G01920,42,44,71,91
AT1G01930,94,82,106,132
AT1G01940,40,31,56,36
AT1G01950,87,92,110,110
AT1G01960,202,200,282,284
AT1G01970,117,65,180,155
AT1G01990,125,115,162,144
AT1G02000,13,34,25,49
AT1G02010,2,3,10,5
AT1G02020,71,47,88,43
AT1G02050,18,9,48,25
AT1G02060,36,52,69,94
AT1G02065,0,0,8,5
AT1G02080,355,312,434,450
AT1G02100,38,45,49,39
AT1G02110,201,199,362,335
AT1G02120,46,52,79,76
AT1G02130,50,82,61,93
AT1G02140,502,423,495,433
AT1G02145,33,29,43,39
AT1G02150,85,98,110,146
AT1G02180,24,18,55,31
AT1G02260,99,63,171,145
AT1G02270,206,219,257,316
AT1G02300,3,0,16,0
AT1G02305,813,732,1322,1196
AT1G02310,16,4,15,49
AT1G02330,597,349,698,515
AT1G02340,23,7,62,45
AT1G02380,7,14,7,24
AT1G02390,418,267,379,413
AT1G02410,33,22,28,34
AT1G02420,8,8,7,11
AT1G02430,5,8,13,4
AT1G02475,7,12,16,38
AT1G02520,2,1,6,5
AT1G02530,6,5,7,15
AT1G02560,16,10,21,30
AT1G02640,67,67,343,329
AT1G02650,4,13,11,24
AT1G02660,91,94,233,224
AT1G02670,4,8,4,10
AT1G02680,160,115,181,120
AT1G02690,398,378,653,514
AT1G02720,264,194,387,349
AT1G02730,1469,1376,1778,1882
AT1G02740,29,27,67,45
AT1G02750,193,117,236,132
AT1G02770,16,2,18,10
AT1G02810,61,59,106,99
AT1G02816,67,63,116,102
AT1G02840,166,253,343,387
AT1G02850,3,3,5,2
AT1G02860,73,60,50,62
AT1G02870,27,39,54,55
AT1G02890,508,439,707,685
AT1G02970,143,132,207,157
AT1G02980,11,3,32,32
AT1G02990,19,15,45,53
AT1G03000,22,25,40,32
AT1G03030,56,39,69,40
AT1G03040,39,34,58,51
AT1G03060,96,89,117,138
AT1G03080,24,11,31,18
AT1G03090,85,76,224,208
AT1G03100,2,7,10,11
AT1G03106,17,238,25,667
AT1G03110,55,64,67,80
AT1G03120,96,78,128,111
AT1G03130,503,674,933,1079
AT1G03140,81,30,80,36
AT1G03150,32,21,51,38
AT1G03160,86,71,100,97
AT1G03180,10,3,7,5
AT1G03190,30,22,44,34
AT1G03260,24,6,22,16
AT1G03270,43,31,41,50
AT1G03280,127,93,189,159
AT1G03290,15,23,52,55
AT1G03300,22,14,38,23
AT1G03310,34,49,55,55
AT1G03350,36,35,56,49
AT1G03365,9,12,17,15
AT1G03410,10,9,16,22
AT1G03440,22,16,16,15
AT1G03445,5,3,11,4
AT1G03457,664,451,849,701
AT1G03470,72,40,99,41
AT1G03495,7,3,2,5
AT1G03510,24,29,29,30
AT1G03520,17,14,31,29
AT1G03530,69,56,71,56
AT1G03540,9,5,9,2
AT1G03545,6,2,7,4
AT1G03560,19,19,21,26
AT1G03590,33,38,56,59
AT1G03600,427,382,787,877
AT1G03650,18,9,33,14
AT1G03680,465,436,690,652
AT1G03687,218,183,286,294
AT1G03710,9,202,13,233
AT1G03730,14,18,21,19
AT1G03740,7,13,18,11
AT1G03750,8,5,10,12
AT1G03760,78,88,100,162
AT1G03770,9,16,11,17
AT1G03780,245,195,277,327
AT1G03830,14,12,21,23
AT1G03905,2,4,9,4
AT1G03910,94,122,110,163
AT1G03930,39,41,70,58
AT1G03960,6,11,13,6
AT1G03980,2,2,7,6
AT1G04000,292,258,384,393
AT1G04020,125,136,120,153
AT1G04030,29,15,56,16
AT1G04040,5,2,8,6
AT1G04050,90,25,110,65
AT1G04080,464,541,695,830
AT1G04090,8,3,16,17
AT1G04100,4,3,5,8
AT1G04110,8,6,8,10
AT1G04120,211,181,262,229
AT1G04130,15,10,27,25
AT1G04140,253,236,325,326
AT1G04150,56,34,87,70
AT1G04160,221,214,331,261
AT1G04170,1371,1115,1437,1406
AT1G04180,5,4,2,5
AT1G04190,217,160,256,173
AT1G04200,122,107,214,188
AT1G04210,292,222,443,381
AT1G04220,7,9,15,8
AT1G04230,26,25,32,37
AT1G04250,4,2,2,4
AT1G04260,16,7,22,19
AT1G04270,6997,4843,8356,6320
AT1G04280,8,9,78,110
AT1G04300,64,60,103,103
AT1G04310,316,164,485,271
AT1G04360,10,12,18,11
AT1G04380,19,1,23,21
AT1G04390,19,9,20,17
AT1G04400,71,77,167,143
AT1G04410,3962,4218,4759,5341
AT1G04420,44,48,113,98
AT1G04425,163,939,178,1099
AT1G04430,18,12,26,15
AT1G04440,80,72,156,148
AT1G04510,591,576,656,623
AT1G04530,114,80,164,171
AT1G04540,4,4,8,4
AT1G04550,115,128,179,181
AT1G04580,25,7,53,47
AT1G04590,270,143,344,176
AT1G04600,20,3,16,7
AT1G04620,65,88,109,131
AT1G04630,260,106,363,206
AT1G04635,69,71,118,120
AT1G04640,51,15,53,35
AT1G04660,3650,3842,4354,4643
AT1G04680,40,46,44,23
AT1G04700,7,4,25,21
AT1G04710,55,21,78,41
AT1G04730,7,5,19,7
AT1G04750,286,297,439,389
AT1G04770,123,169,333,379
AT1G04780,49,45,68,78
AT1G04790,112,89,173,148
AT1G04810,84,95,145,151
AT1G04850,247,190,375,359
AT1G04860,39,38,50,71
AT1G04870,187,153,261,256
AT1G04880,12,13,18,14
AT1G04900,1,8,6,13
AT1G04910,100,97,167,168
AT1G04920,2,1,4,4
AT1G04950,34,27,45,36
AT1G04960,22,20,28,32
AT1G04970,24,22,59,49
AT1G04980,19,27,41,42
AT1G04990,26,17,31,18
AT1G05000,11,24,12,37
AT1G05010,12,11,15,14
AT1G05020,6,1,4,6
AT1G05030,59,54,89,83
AT1G05055,294,315,328,345
AT1G05060,46,40,75,88
AT1G05065,18,7,13,9
AT1G05070,52,59,69,94
AT1G05120,53,42,59,87
AT1G05140,35,16,61,44
AT1G05150,849,697,1160,1210
AT1G05160,294,217,285,243
AT1G05170,27,39,27,41
AT1G05180,34,30,52,42
AT1G05190,584,626,980,1419
AT1G05200,11,9,36,34
AT1G05220,13,19,6,22
AT1G05230,25,30,23,50
AT1G05260,7,0,2,2
AT1G05270,71,67,136,127
AT1G05280,2,0,2,8
AT1G05300,2,5,15,38
AT1G05320,23,29,50,85
AT1G05340,6,19,20,52
AT1G05350,1223,863,1521,1272
AT1G05360,126,142,221,248
AT1G05370,15,18,15,18
AT1G05380,54,65,84,95
AT1G05410,521,455,761,671
AT1G05420,18,28,27,34
AT1G05430,475,323,627,447
AT1G05440,42,52,60,61
AT1G05460,229,200,389,346
AT1G05470,17,20,34,45
AT1G05490,0,6,5,3
AT1G05520,31,31,35,36
AT1G05570,7,10,29,20
AT1G05575,1,8,0,23
AT1G05590,29,31,38,44
AT1G05600,6,1,10,8
AT1G05620,31,22,57,38
AT1G05630,72,49,86,63
AT1G05640,17,16,20,24
AT1G05670,7,19,18,34
AT1G05710,5,8,7,8
AT1G05730,14,11,18,19
AT1G05750,6,13,15,13
AT1G05780,12,7,9,5
AT1G05790,24,17,24,45
AT1G05805,45,40,73,67
AT1G05820,36,13,50,42
AT1G05830,164,101,302,141
AT1G05835,80,76,132,102
AT1G05840,82,78,137,120
AT1G05850,746,702,970,1087
AT1G05860,202,186,232,254
AT1G05870,40,22,76,49
AT1G05890,35,45,69,56
AT1G05894,3,6,9,12
AT1G05900,5,4,18,10
AT1G05910,107,118,146,178
AT1G05940,125,124,213,195
AT1G05950,45,38,61,75
AT1G05960,120,95,204,198
AT1G05970,57,51,83,77
AT1G06000,97,65,68,62
AT1G06010,304,140,416,232
AT1G06050,19,13,26,36
AT1G06070,42,32,26,29
AT1G06080,239,229,288,211
AT1G06110,82,84,130,147
AT1G06130,56,60,103,107
AT1G06140,5,6,5,8
AT1G06150,20,12,21,20
AT1G06180,49,41,67,50
AT1G06190,580,493,877,733
AT1G06200,213,216,229,271
AT1G06210,505,500,711,718
AT1G06220,514,532,637,715
AT1G06230,57,59,81,76
AT1G06240,9,12,23,36
AT1G06250,7,2,7,15
AT1G06265,4,0,11,9
AT1G06270,17,20,32,32
AT1G06290,343,275,638,699
AT1G06310,15,3,29,14
AT1G06320,8,2,13,2
AT1G06360,19,4,12,9
AT1G06380,124,124,144,135
AT1G06390,649,610,1076,980
AT1G06410,121,98,147,180
AT1G06420,23,27,28,26
AT1G06430,132,103,218,207
AT1G06460,17,20,24,29
AT1G06470,36,26,41,38
AT1G06500,57,29,94,38
AT1G06510,37,45,53,76
AT1G06520,143,140,238,206
AT1G06530,321,350,416,382
AT1G06540,6,6,7,11
AT1G06550,89,80,67,72
AT1G06560,80,84,172,139
AT1G06580,33,26,49,38
AT1G06590,105,102,163,135
AT1G06630,84,55,108,61
AT1G06640,43,0,72,0
AT1G06650,5,10,31,23
AT1G06660,172,170,238,242
AT1G06670,622,504,901,786
AT1G06680,2514,2421,3192,3454
AT1G06690,20,15,18,33
AT1G06700,38,34,69,62
AT1G06720,84,73,116,127
AT1G06730,69,43,70,66
AT1G06760,2015,2067,2562,2767
AT1G06770,26,15,29,36
AT1G06780,20,9,15,22
AT1G06800,41,48,39,44
AT1G06820,68,74,111,128
AT1G06840,22,10,37,32
AT1G06850,36,22,39,23
AT1G06870,57,67,69,107
AT1G06890,101,77,104,80
AT1G06900,26,26,44,45
AT1G06910,15,19,18,26
