Treatment,Block,Richness
control,S1,47
control,S1,58
control,S1,54
control,S1,45
control,S1,47
control,S1,28
control,S1,45
control,S1,20
control,S1,58
control,S1,50
control,S1,19
control,S1,25
control,S1,32
control,S1,35
control,S1,39
control,S1,30
burn,S1,44
burn,S1,43
burn,S1,45
burn,S1,44
burn,S1,63
burn,S1,28
burn,S1,44
burn,S1,50
burn,S1,51
burn,S1,49
burn,S1,30
burn,S1,39
burn,S1,33
burn,S1,54
burn,S1,58
burn,S1,41
mow,S1,15
mow,S1,52
mow,S1,52
mow,S1,27
mow,S1,52
mow,S1,35
mow,S1,33
mow,S1,41
mow,S1,28
mow,S1,37
mow,S1,39
mow,S1,45
mow,S1,39
mow,S1,44
mow,S1,30
mow,S1,87
control,S2,34
control,S2,47
control,S2,48
control,S2,42
control,S2,57
control,S2,56
control,S2,53
control,S2,48
control,S2,40
control,S2,56
control,S2,46
control,S2,56
control,S2,48
burn,S2,50
burn,S2,54
burn,S2,50
burn,S2,51
burn,S2,70
burn,S2,50
burn,S2,74
burn,S2,37
burn,S2,49
burn,S2,43
burn,S2,54
burn,S2,34
burn,S2,47
mow,S2,62
mow,S2,39
mow,S2,65
mow,S2,38
mow,S2,55
mow,S2,59
mow,S2,43
mow,S2,36
mow,S2,61
mow,S2,66
mow,S2,36
mow,S2,61
mow,S2,41
control,S3,61
control,S3,56
control,S3,60
control,S3,76
control,S3,41
control,S3,55
control,S3,54
control,S3,54
control,S3,41
control,S3,45
control,S3,65
control,S3,49
control,S3,60
burn,S3,54
burn,S3,66
burn,S3,70
burn,S3,62
burn,S3,48
burn,S3,54
burn,S3,47
burn,S3,44
burn,S3,39
burn,S3,47
burn,S3,50
burn,S3,44
burn,S3,47
mow,S3,64
mow,S3,55
mow,S3,31
mow,S3,51
mow,S3,41
mow,S3,55
mow,S3,32
mow,S3,67
mow,S3,59
mow,S3,76
mow,S3,54
mow,S3,51
mow,S3,43
control,S4,47
control,S4,45
control,S4,28
control,S4,49
control,S4,45
control,S4,39
control,S4,43
control,S4,36
control,S4,66
control,S4,44
burn,S4,35
burn,S4,61
burn,S4,41
burn,S4,43
burn,S4,50
burn,S4,38
burn,S4,48
burn,S4,50
burn,S4,57
burn,S4,55
mow,S4,50
mow,S4,52
mow,S4,54
mow,S4,46
mow,S4,47
mow,S4,45
mow,S4,34
mow,S4,50
mow,S4,53
mow,S4,52
control,S5,55
control,S5,57
control,S5,63
control,S5,37
control,S5,63
control,S5,36
control,S5,60
control,S5,33
burn,S5,71
burn,S5,51
burn,S5,63
burn,S5,61
burn,S5,53
burn,S5,65
burn,S5,51
burn,S5,41
mow,S5,47
mow,S5,64
mow,S5,54
mow,S5,49
mow,S5,56
mow,S5,45
mow,S5,59
mow,S5,56
control,S6,49
control,S6,34
control,S6,34
control,S6,42
control,S6,42
control,S6,41
control,S6,35
control,S6,56
control,S6,38
control,S6,66
control,S6,43
control,S6,46
burn,S6,45
burn,S6,57
burn,S6,35
burn,S6,60
burn,S6,39
burn,S6,28
burn,S6,31
burn,S6,37
burn,S6,32
burn,S6,56
burn,S6,55
burn,S6,48
mow,S6,42
mow,S6,44
mow,S6,53
mow,S6,41
mow,S6,46
mow,S6,44
mow,S6,55
mow,S6,40
mow,S6,28
mow,S6,37
mow,S6,53
mow,S6,33
control,S7,51
control,S7,32
control,S7,46
control,S7,42
control,S7,59
control,S7,48
control,S7,28
control,S7,51
control,S7,59
control,S7,60
control,S7,44
control,S7,30
burn,S7,64
burn,S7,48
burn,S7,27
burn,S7,55
burn,S7,49
burn,S7,50
burn,S7,52
burn,S7,54
burn,S7,66
burn,S7,79
burn,S7,60
burn,S7,42
mow,S7,47
mow,S7,49
mow,S7,47
mow,S7,32
mow,S7,41
mow,S7,45
mow,S7,47
mow,S7,60
mow,S7,53
mow,S7,65
mow,S7,42
mow,S7,35
control,S8,29
control,S8,37
control,S8,42
control,S8,33
control,S8,66
burn,S8,41
burn,S8,44
burn,S8,36
burn,S8,55
burn,S8,44
mow,S8,44
mow,S8,46
mow,S8,29
mow,S8,37
mow,S8,51
control,S9,63
control,S9,39
control,S9,48
control,S9,36
control,S9,44
control,S9,48
control,S9,55
control,S9,45
control,S9,46
burn,S9,43
burn,S9,54
burn,S9,60
burn,S9,47
burn,S9,64
burn,S9,63
burn,S9,54
burn,S9,54
burn,S9,31
mow,S9,71
mow,S9,68
mow,S9,34
mow,S9,59
