ID,Clock_Allele
S1,0
S2,0
S3,0
S4,0
S5,0
S6,0
S7,0
S8,0
S9,1
S10,0
S11,0
S12,0
S13,0
S14,0
S15,0
S16,0
S17,1
S18,0
S19,0
S20,0
S21,0
S22,0
S23,0
S24,1
S25,0
S26,0
S27,0
S28,1
S29,0
S30,0
S31,0
S32,0
S33,0
S34,0
S35,0
S36,1
S37,0
S38,0
S39,0
S40,0
S41,1
S42,0
S43,1
S44,0
S45,0
S46,0
S47,1
S48,0
S49,0
S50,0
S51,0
S52,0
S53,0
S54,0
S55,0
S56,0
S57,0
S58,0
S59,1
S60,0
S61,0
S62,0
S63,0
S64,1
S65,0
S66,0
S67,0
S68,0
S69,0
S70,1
S71,1
S72,0
S73,1
S74,0
S75,1
S76,0
S77,0
S78,0
S79,1
S80,1
S81,0
S82,1
S83,0
S84,0
S85,0
S86,0
S87,0
S88,0
S89,0
S90,0
S91,0
S92,0
S93,0
S94,0
S95,0
S96,0
S97,0
S98,1
S99,0
S100,0
