Line,incapacitation
11002,125
11002,110
11002,130
11002,430
11002,130
11002,35
11002,255
11002,195
11002,170
11002,160
11002,135
11002,85
11002,175
11002,160
11002,40
11002,310
11002,190
11002,155
11002,190
11002,180
11002,330
11002,235
11002,270
11002,50
11002,135
11002,240
11002,265
11002,195
11002,135
11002,75
11002,95
11002,80
11002,600
11002,60
11002,80
11002,220
11002,220
11002,130
11002,315
11002,155
11002,235
11002,170
11002,210
11002,120
11002,140
11002,135
11002,150
11002,185
11002,225
11002,360
11002,240
11002,225
11002,195
11002,260
11002,30
11002,150
11002,60
11002,210
11002,15
11002,275
11002,350
11002,275
11002,285
11002,255
11002,510
11002,10
11002,255
11002,255
11002,330
11002,230
11003,65
11003,65
11003,90
11003,110
11003,85
11003,35
11003,115
11003,50
11003,55
11003,185
11003,600
11003,110
11003,175
11003,170
11003,100
11003,275
11003,145
11003,285
11003,600
11003,600
11003,115
11003,190
11003,600
11003,600
11003,600
11003,600
11003,600
11003,275
11003,600
11003,190
11003,270
11003,600
11003,600
11003,380
11003,600
11003,475
11003,600
11003,300
11003,600
11003,40
11003,75
11003,450
11003,600
11003,15
11003,600
11003,600
11003,120
11003,600
11003,50
11003,215
11003,440
11003,210
11003,600
11003,65
11003,60
11003,65
11003,135
11003,70
11003,55
11003,125
11003,120
11003,145
11003,115
11003,80
11003,45
11003,55
11003,85
11003,35
11003,140
11003,195
11003,105
11003,120
11003,110
11003,55
11003,80
11003,55
11003,50
11003,90
11003,95
11003,125
11003,95
11003,100
11003,105
11003,145
11003,95
11003,55
11003,85
11003,70
11003,95
11003,125
11003,65
11003,70
11003,150
11003,60
11003,10
11003,225
11003,100
11003,80
11003,175
11003,65
11003,50
11003,100
11003,75
11003,50
11003,120
11003,20
11003,65
11003,135
11003,70
11003,85
11003,50
11003,325
11003,90
11003,165
11003,205
11003,355
11003,300
11003,125
11003,80
11003,65
11003,85
11003,125
11003,475
11003,130
11003,65
11003,150
11003,240
11003,180
11004,85
11004,300
11004,160
11004,165
11004,155
11004,210
11004,220
11004,185
11004,220
11004,75
11004,600
11004,290
11004,230
11004,300
11004,600
11004,600
11004,600
11004,600
11004,160
11004,200
11004,130
11004,180
11004,70
11004,175
11004,200
11004,165
11004,75
11004,270
11004,530
11004,255
11004,285
11004,160
11004,185
11004,135
11004,485
11004,315
11004,130
11004,100
11004,365
11004,275
11004,385
11004,380
11004,120
11004,365
11004,400
